ID;Partner neve;Székhelye;Megye;Teljesítés;Számlaszám;Termék megnevezése;Db;Egységár;Eá. Pénznem;Nettó ár;Nettó pénznem
1011.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Probiotikum;18;1 805,00   ;HUF;32 490   ;HUF
29.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Vitamin D3;2;1 630,00   ;HUF;3 260   ;HUF
30.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Fekete Magolaj;2;4 700,00   ;HUF;9 400   ;HUF
31.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Koenzim Q10 30 db kapszula ;2;1 560,00   ;HUF;3 120   ;HUF
32.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Probiotikum;1;2 165,00   ;HUF;2 165   ;HUF
33.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Ginseng;2;1 230,00   ;HUF;2 460   ;HUF
34.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Omega 3;2;1 630,00   ;HUF;3 260   ;HUF
35.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Kalcium+Vitamin D ;1;1 195,00   ;HUF;1 195   ;HUF
36.;Szecsődi Fodrászcikk és Biotermék Kft.;6724 Szeged, Mars tér 1-3.;CSONGRÁD-CSANÁD MEGYE;2022.07.14;2022-13;Kalcium+Vitamin D ;2;5,00   ;HUF;10   ;HUF
37.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Vitamin D3;2;1 270,00   ;HUF;2 540   ;HUF
38.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Fekete Magolaj;2;4 340,00   ;HUF;8 680   ;HUF
39.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Koenzim Q10 30 db kapszula ;2;1 200,00   ;HUF;2 400   ;HUF
40.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Probiotikum;2;1 805,00   ;HUF;3 610   ;HUF
41.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Ginseng;2;870,00   ;HUF;1 740   ;HUF
42.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Omega 3;2;1 270,00   ;HUF;2 540   ;HUF
43.;Andorkó Julianna;8394 Alsópáhok, Fő utca 76. B.ép.fszt.5.;ZALA MEGYE;2022.07.25;2022-14;Kalcium+Vitamin D ;2;835,00   ;HUF;1 670   ;HUF
1012.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Kalcium+Vitamin D ;8;835,00   ;HUF;6 680   ;HUF
1013.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Omega 3;5;1 270,00   ;HUF;6 350   ;HUF
46.;Puskás Nikoletta;2120 Dunakeszi, Kisdobos utca 21.b.;PEST MEGYE;2022.08.03;2022-16;Probiotikum;3;2 181,10   ;HUF;6 543   ;HUF
47.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.08.13;2022-17;Fekete Magolaj;2;3 906,00   ;HUF;7 812   ;HUF
48.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.08.13;2022-17;Ginseng;5;783,00   ;HUF;3 915   ;HUF
49.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.08.13;2022-17;Probiotikum;6;1 625,00   ;HUF;9 750   ;HUF
1014.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Ginseng;4;870,00   ;HUF;3 480   ;HUF
1015.;Terra Gold Kft.;4251 Hajdúsámson, Kiscsere utca 3.;HAJDÚ-BIHAR MEGYE;2022.02.13;2024-53;Koenzim Q10 30 db kapszula ;4;1 400,00   ;HUF;5 600   ;HUF
1.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Fekete Magolaj;20;4 340,00   ;HUF;86 800   ;HUF
2.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Ginseng;20;870,00   ;HUF;17 400   ;HUF
3.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Kalcium+Vitamin D ;20;835,00   ;HUF;16 700   ;HUF
4.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Koenzim Q10 30 db kapszula ;20;1 400,00   ;HUF;28 000   ;HUF
5.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Omega 3;20;1 270,00   ;HUF;25 400   ;HUF
6.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Probiotikum;20;1 805,00   ;HUF;36 100   ;HUF
7.;Alaszka Kft.;4030 Debrecen,  Vágóhíd út 4.b.;HAJDÚ-BIHAR MEGYE;2022.04.27;2022-1;Vitamin D3;20;1 270,00   ;HUF;25 400   ;HUF
1133.;Korodi Istvan;4024 Debecen, Jászai Mari utca 7. fszt. 3.;HAJDÚ-BIHAR MEGYE;2022.04.27;shop-2022-1;Ginseng;1;1 102,36   ;HUF;1 102   ;HUF
1134.;Korodi Istvan;4024 Debecen, Jászai Mari utca 7. fszt. 3.;HAJDÚ-BIHAR MEGYE;2022.04.27;shop-2022-1;GLS házhozszállítás;1;1 700,00   ;HUF;1 700   ;HUF
1135.;Veres Balázs;4220 Hajdúböszörmény, Újfehértói utca 79.;HAJDÚ-BIHAR MEGYE;2022.05.04;shop-2022-2;Kalcium+Vitamin D ;1;1 133,86   ;HUF;1 134   ;HUF
1136.;Veres Balázs;4220 Hajdúböszörmény, Újfehértói utca 79.;HAJDÚ-BIHAR MEGYE;2022.05.04;shop-2022-2;FoxPost csomagautomata;1;950,39   ;HUF;950   ;HUF
63.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.06.02;2022-2;Ginseng;4;783,00   ;HUF;3 132   ;HUF
64.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.06.02;2022-2;Omega 3;2;1 143,00   ;HUF;2 286   ;HUF
65.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.06.02;2022-2;Probiotikum;5;1 625,00   ;HUF;8 125   ;HUF
207.;Fülöpné Nagy Anikó;4080 Hajdúnánás, Irányi utca 1.;HAJDÚ-BIHAR MEGYE;2022.06.10;2022-6;Omega 3;20;1 270,00   ;HUF;25 400   ;HUF
208.;Fülöpné Nagy Anikó;4080 Hajdúnánás, Irányi utca 1.;HAJDÚ-BIHAR MEGYE;2022.06.10;2022-6;Koenzim Q10 30 db kapszula ;20;1 200,00   ;HUF;24 000   ;HUF
209.;Fülöpné Nagy Anikó;4080 Hajdúnánás, Irányi utca 1.;HAJDÚ-BIHAR MEGYE;2022.06.10;2022-6;Probiotikum;20;1 805,00   ;HUF;36 100   ;HUF
210.;Fülöpné Nagy Anikó;4080 Hajdúnánás, Irányi utca 1.;HAJDÚ-BIHAR MEGYE;2022.06.10;2022-6;Ginseng;20;870,00   ;HUF;17 400   ;HUF
211.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2022.06.13;2022-7;Probiotikum;15;1 840,25   ;HUF;27 604   ;HUF
212.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2022.06.13;2022-7;Omega 3;10;1 385,50   ;HUF;13 855   ;HUF
213.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2022.06.13;2022-7;Koenzim Q10 30 db kapszula ;10;1 224,00   ;HUF;12 240   ;HUF
73.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Vitamin D3;1;1 270,00   ;HUF;1 270   ;HUF
74.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Fekete Magolaj;1;4 340,00   ;HUF;4 340   ;HUF
75.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Probiotikum;1;1 805,00   ;HUF;1 805   ;HUF
76.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Omega 3;1;1 270,00   ;HUF;1 270   ;HUF
77.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Ginseng;1;870,00   ;HUF;870   ;HUF
78.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Kalcium+Vitamin D ;1;835,00   ;HUF;835   ;HUF
79.;NYÍREGY-NOVA Kft.;1097 Budapest, Könyves Kálmán krt. 12-14. (Lurdy-ház);BUDAPEST;2022.08.19;2022-21;Koenzim Q10 30 db kapszula ;1;1 200,00   ;HUF;1 200   ;HUF
214.;Balmazpharm Kft.;4060 Balmazújváros, Bocskai u. 2-4.;HAJDÚ-BIHAR MEGYE;2022.06.13;2022-7;Ginseng;10;1 045,50   ;HUF;10 455   ;HUF
215.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.06.15;2022-8;Probiotikum;8;1 805,00   ;HUF;14 440   ;HUF
216.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.06.15;2022-8;Probiotikum;2;5,00   ;HUF;10   ;HUF
217.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.06.15;2022-8;Ginseng;12;870,00   ;HUF;10 440   ;HUF
218.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.06.15;2022-8;Ginseng;3;5,00   ;HUF;15   ;HUF
8.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Vitamin D3;1;1 630,00   ;HUF;1 630   ;HUF
9.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Fekete Magolaj;1;4 700,00   ;HUF;4 700   ;HUF
87.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-23;Ginseng;1;870,00   ;HUF;870   ;HUF
88.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-24;Probiotikum;1;1 805,00   ;HUF;1 805   ;HUF
89.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-25;Vitamin D3;1;1 270,00   ;HUF;1 270   ;HUF
90.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-25;Fekete Magolaj;3;4 340,00   ;HUF;13 020   ;HUF
91.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-25;Ginseng;6;870,00   ;HUF;5 220   ;HUF
92.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-25;Kalcium+Vitamin D ;1;835,00   ;HUF;835   ;HUF
93.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.08.30;2022-25;Probiotikum;1;1 805,00   ;HUF;1 805   ;HUF
94.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.09.13;2022-26;Fekete Magolaj;2;3 906,00   ;HUF;7 812   ;HUF
95.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.09.13;2022-26;Ginseng;7;783,00   ;HUF;5 481   ;HUF
96.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.09.13;2022-26;Omega 3;1;1 143,00   ;HUF;1 143   ;HUF
97.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.09.13;2022-26;Probiotikum;7;1 625,00   ;HUF;11 375   ;HUF
10.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Koenzim Q10 30 db kapszula ;1;1 560,00   ;HUF;1 560   ;HUF
11.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Probiotikum;1;2 165,00   ;HUF;2 165   ;HUF
12.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Ginseng;1;1 230,00   ;HUF;1 230   ;HUF
13.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Omega 3;1;1 630,00   ;HUF;1 630   ;HUF
14.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-10;Kalcium+Vitamin D ;1;1 195,00   ;HUF;1 195   ;HUF
15.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Vitamin D3;1;-1 630,00   ;HUF;-1 630   ;HUF
16.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Fekete Magolaj;1;-4 700,00   ;HUF;-4 700   ;HUF
105.;GELSEMIUM Kft.;3300 Eger, Hadnagy út 5.;HEVES MEGYE;2022.09.16;2022-28;Ginseng;1;870,00   ;HUF;870   ;HUF
106.;GELSEMIUM Kft.;3300 Eger, Hadnagy út 5.;HEVES MEGYE;2022.09.16;2022-29;Ginseng;1;-870,00   ;HUF;-870   ;HUF
107.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.06.02;2022-3;Ginseng;4;-783,00   ;HUF;-3 132   ;HUF
108.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.06.02;2022-3;Omega 3;2;-1 143,00   ;HUF;-2 286   ;HUF
109.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.06.02;2022-3;Probiotikum;5;-1 625,00   ;HUF;-8 125   ;HUF
110.;GELSEMIUM Kft.;3300 Eger, Hadnagy út 5.;HEVES MEGYE;2022.09.16;2022-30;Ginseng;1;870,00   ;HUF;870   ;HUF
111.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.10.13;2022-31;Ginseng;5;783,00   ;HUF;3 915   ;HUF
112.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.10.13;2022-31;Omega 3;1;1 143,00   ;HUF;1 143   ;HUF
113.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.10.13;2022-31;Probiotikum;6;1 625,00   ;HUF;9 750   ;HUF
114.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.10.13;2022-31;Vitamin D3;1;1 143,00   ;HUF;1 143   ;HUF
115.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.11.11;2022-32;Ginseng;1;783,00   ;HUF;783   ;HUF
116.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.11.11;2022-32;Omega 3;1;1 143,00   ;HUF;1 143   ;HUF
117.;BENNOVUM Kft.;1087 Budapest, Százados u. 18.;BUDAPEST;2022.11.11;2022-32;Probiotikum;5;1 625,00   ;HUF;8 125   ;HUF
17.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Koenzim Q10 30 db kapszula ;1;-1 560,00   ;HUF;-1 560   ;HUF
119.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.11.09;2022-34;Probiotikum;4;1 805,00   ;HUF;7 220   ;HUF
120.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.11.09;2022-34;Ginseng;3;870,00   ;HUF;2 610   ;HUF
121.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.11.09;2022-34;Kalcium+Vitamin D ;2;835,00   ;HUF;1 670   ;HUF
122.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Kalcium+Vitamin D ;20;835,00   ;HUF;16 700   ;HUF
123.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Fekete Magolaj;20;4 340,00   ;HUF;86 800   ;HUF
124.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Koenzim Q10 30 db kapszula ;20;1 200,00   ;HUF;24 000   ;HUF
125.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Vitamin D3;20;1 270,00   ;HUF;25 400   ;HUF
126.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Omega 3;20;1 270,00   ;HUF;25 400   ;HUF
127.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Ginseng;20;870,00   ;HUF;17 400   ;HUF
128.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.16;2022-35;Probiotikum;20;1 805,00   ;HUF;36 100   ;HUF
18.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Probiotikum;1;-2 165,00   ;HUF;-2 165   ;HUF
19.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Ginseng;1;-1 230,00   ;HUF;-1 230   ;HUF
20.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Omega 3;1;-1 630,00   ;HUF;-1 630   ;HUF
21.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-11;Kalcium+Vitamin D ;1;-1 195,00   ;HUF;-1 195   ;HUF
22.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Vitamin D3;1;1 630,00   ;HUF;1 630   ;HUF
23.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Fekete Magolaj;1;4 700,00   ;HUF;4 700   ;HUF
24.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Koenzim Q10 30 db kapszula ;1;1 560,00   ;HUF;1 560   ;HUF
136.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.21;2022-37;Ginseng;20;870,00   ;HUF;17 400   ;HUF
137.;GO HEALTH Kft.;2711 Tápiószentmárton, Rákóczi Ferenc utca 12.;PEST MEGYE;2022.11.21;2022-37;Koenzim Q10 30 db kapszula ;20;1 200,00   ;HUF;24 000   ;HUF
138.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.11.21;2022-38;Ginseng;3;870,00   ;HUF;2 610   ;HUF
139.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.11.21;2022-38;Kalcium+Vitamin D ;2;835,00   ;HUF;1 670   ;HUF
140.;Bellis Egészségtár Kft.;1151 Budapest, Károlyi Sándor út 121.;BUDAPEST;2022.11.21;2022-38;Probiotikum;4;1 805,00   ;HUF;7 220   ;HUF
25.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Probiotikum;1;2 165,00   ;HUF;2 165   ;HUF
26.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Ginseng;1;1 230,00   ;HUF;1 230   ;HUF
27.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Omega 3;1;1 630,00   ;HUF;1 630   ;HUF
28.;TOP-NEXUS Kft.;4024 Debrecen, Kossuth u. 7.;HAJDÚ-BIHAR MEGYE;2022.07.07;2022-12;Kalcium+Vitamin D ;1;1 195,00   ;HUF;1 195   ;HUF
44.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.07.27;2022-15;Probiotikum;100;1 200,00   ;HUF;120 000   ;HUF
45.;"""MÁTYÁS KIRÁLY"" Kft.";4028 Debrecen, Laktanya utca 23.;HAJDÚ-BIHAR MEGYE;2022.07.27;2022-15;Fekete Magolaj;2;4 340,00   ;HUF;8 680   ;HUF
